M4id,category,step,ground_truth,prediction,residual
Q1988,Macro,8,0.7743,0.7774,-0.0031
Q3770,Macro,1,0.4937,0.5173,-0.0236
Q3770,Macro,2,0.5375,0.5091,0.0284
Q3770,Macro,3,0.5,0.4626,0.0374
Q3770,Macro,4,0.5187,0.4708,0.0479
Q3770,Macro,5,0.4937,0.4489,0.0448
Q3770,Macro,6,0.6062,0.4735,0.1327
Q3770,Macro,7,0.7687,0.4133,0.3554
Q3770,Macro,8,0.875,0.3887,0.4863
Q4038,Macro,1,1.0121,1.0095,0.0026
Q4038,Macro,2,1.0267,1.0196,0.0071
Q4038,Macro,3,1.0316,1.0298,0.0018
Q4038,Macro,4,1.034,1.0399,-0.0059
Q4038,Macro,5,1.0364,1.05,-0.0136
Q4038,Macro,6,1.0437,1.0602,-0.0165
Q4038,Macro,7,1.051,1.0703,-0.0193
Q4038,Macro,8,1.051,1.0804,-0.0294
Q3957,Macro,1,1.0154,1.0138,0.0016
Q3957,Macro,2,1.0283,1.0303,-0.0019
Q3957,Macro,3,1.0383,1.0412,-0.0029
Q3957,Macro,4,1.0525,1.0549,-0.0024
Q3957,Macro,5,1.0659,1.0714,-0.0055
Q3957,Macro,6,1.0771,1.0823,-0.0052
Q3957,Macro,7,1.0892,1.096,-0.0068
Q3957,Macro,8,1.103,1.107,-0.004
Q5109,Macro,1,0.9153,0.9174,-0.0021
Q5109,Macro,2,0.9147,0.9174,-0.0027
Q5109,Macro,3,0.9151,0.9174,-0.0023
Q5109,Macro,4,0.9148,0.9174,-0.0026
Q5109,Macro,5,0.9224,0.9174,0.005
Q5109,Macro,6,0.9296,0.9174,0.0122
Q5109,Macro,7,0.9252,0.9174,0.0078
Q5109,Macro,8,0.941,0.9174,0.0236
Q11298,Micro,1,0.7197,0.7287,-0.009
Q11298,Micro,2,0.7264,0.7093,0.0171
Q11298,Micro,3,0.6991,0.7209,-0.0218
Q11298,Micro,4,0.8002,0.7326,0.0676
Q11298,Micro,5,0.7434,0.7016,0.0418
Q11298,Micro,6,0.8775,0.6899,0.1876
Q11298,Micro,7,0.8999,0.7248,0.1751
Q11298,Micro,8,0.96,0.7248,0.2352
Q9597,Micro,1,0.6608,0.5854,0.0754
Q9597,Micro,2,0.5014,0.6021,-0.1007
Q9597,Micro,3,0.3274,0.5926,-0.2652
Q9597,Micro,4,0.4881,0.5806,-0.0925
Q9597,Micro,5,0.3947,0.6021,-0.2074
Q9597,Micro,6,0.2398,0.5878,-0.348
Q9597,Micro,7,0.3877,0.5902,-0.2025
Q9597,Micro,8,0.5999,0.5949,0.0049
Q9516,Micro,1,0.6086,0.6749,-0.0663
Q9516,Micro,2,0.6152,0.6647,-0.0494
Q9516,Micro,3,0.5763,0.6681,-0.0918
Q9516,Micro,4,0.5523,0.6647,-0.1123
Q9516,Micro,5,0.5217,0.6578,-0.1361
Q9516,Micro,6,0.5822,0.6818,-0.0996
Q9516,Micro,7,0.6255,0.6647,-0.0392
Q9516,Micro,8,0.649,0.6407,0.0083
Q9551,Micro,1,0.9754,0.9665,0.0089
Q9551,Micro,2,0.9685,0.9755,-0.0071
Q9551,Micro,3,0.9997,0.9755,0.0241
Q9551,Micro,4,1.025,0.9846,0.0405
Q9551,Micro,5,1.0327,1.0026,0.0301
Q9551,Micro,6,0.989,0.9981,-0.0091
Q9551,Micro,7,1.0322,0.9846,0.0476
Q9551,Micro,8,1.04,0.9823,0.0577
Q10414,Micro,1,0.9363,0.9438,-0.0075
Q10414,Micro,2,0.9245,0.9438,-0.0193
Q10414,Micro,3,0.9664,0.9487,0.0177
Q10414,Micro,4,0.9279,0.9587,-0.0308
Q10414,Micro,5,0.9161,0.9537,-0.0376
Q10414,Micro,6,0.9128,0.9537,-0.0409
Q10414,Micro,7,0.9128,0.9587,-0.0459
Q10414,Micro,8,0.9077,0.9587,-0.0509
Q23416,Other,1,0.9208,0.9245,-0.0036
Q23416,Other,2,0.9136,0.9207,-0.0071
Q23416,Other,3,0.9147,0.9207,-0.006
Q23416,Other,4,0.928,0.9207,0.0074
Q23416,Other,5,0.9393,0.9169,0.0225
Q23416,Other,6,0.948,0.9092,0.0388
Q23416,Other,7,0.9453,0.8978,0.0475
Q23416,Other,8,0.9353,0.8902,0.0451
Q23410,Other,1,0.946,0.9986,-0.0525
Q23410,Other,2,0.8026,0.9169,-0.1143
Q23410,Other,3,1.0157,1.0292,-0.0136
Q23410,Other,4,0.9883,1.0114,-0.023
Q23410,Other,5,1.0129,1.0139,-0.001
Q23410,Other,6,0.8973,0.9679,-0.0706
Q23410,Other,7,1.1258,1.0063,0.1196
Q23410,Other,8,1.0721,1.0343,0.0378
Q23524,Other,1,0.9718,0.9899,-0.0181
Q23524,Other,2,0.9311,0.9899,-0.0588
Q23524,Other,3,1.0196,1.0021,0.0175
Q23524,Other,4,0.921,0.9817,-0.0607
Q23524,Other,5,0.9665,0.949,0.0175
Q23524,Other,6,1.0072,0.9285,0.0787
Q23524,Other,7,0.9962,0.9367,0.0595
Q23524,Other,8,1.0072,0.9326,0.0746
Q23487,Other,1,1.0088,1.0124,-0.0036
Q23487,Other,2,1.008,1.0285,-0.0204
Q23487,Other,3,1.0249,1.0365,-0.0116
Q23487,Other,4,1.0361,1.0392,-0.003
Q23487,Other,5,1.0442,1.0338,0.0104
Q23487,Other,6,1.0466,1.0258,0.0208
Q23487,Other,7,1.0843,1.0097,0.0746
Q23487,Other,8,1.1116,1.0204,0.0912
Q23661,Other,1,0.8061,0.8069,-0.0007
Q23661,Other,2,0.8122,0.8111,0.0011
Q23661,Other,3,0.8184,0.8154,0.003
Q23661,Other,4,0.8306,0.8196,0.011
Q23661,Other,5,0.8367,0.8239,0.0129
Q23661,Other,6,0.8367,0.8239,0.0129
Q23661,Other,7,0.8408,0.8239,0.017
Q23661,Other,8,0.8367,0.8239,0.0129
