M4id,category,step,ground_truth,prediction,residual
Q16120,Industry,5,1.0622,1.0503,0.0119
Q16120,Industry,6,1.0552,1.0589,-0.0037
Q16120,Industry,7,1.0522,1.0665,-0.0143
Q16120,Industry,8,0.997,1.075,-0.078
Q16176,Industry,1,0.6409,0.6513,-0.0104
Q16176,Industry,2,1.2004,0.9674,0.233
Q16176,Industry,3,0.4927,0.5933,-0.1006
Q16176,Industry,4,0.6263,0.6138,0.0125
Q16176,Industry,5,0.7035,0.634,0.0695
Q16176,Industry,6,1.382,0.9088,0.4733
Q16176,Industry,7,0.5282,0.4944,0.0338
Q16176,Industry,8,0.6367,0.5285,0.1082
Q14989,Industry,1,1.0414,1.0365,0.0049
Q14989,Industry,2,0.8756,1.0607,-0.1851
Q14989,Industry,3,0.9145,1.1129,-0.1984
Q14989,Industry,4,1.0097,1.1114,-0.1017
Q14989,Industry,5,1.0508,1.1472,-0.0964
Q14989,Industry,6,0.8935,1.1423,-0.2489
Q14989,Industry,7,0.9249,1.1722,-0.2472
Q14989,Industry,8,0.8681,1.2207,-0.3526
Q15697,Industry,1,0.8145,0.8082,0.0063
Q15697,Industry,2,0.8044,0.8124,-0.008
Q15697,Industry,3,0.8044,0.8113,-0.0069
Q15697,Industry,4,0.7978,0.8163,-0.0185
Q15697,Industry,5,0.7974,0.8044,-0.007
Q15697,Industry,6,0.7777,0.7945,-0.0168
Q15697,Industry,7,0.8341,0.8367,-0.0026
Q15697,Industry,8,0.79,0.8307,-0.0407
Q1988,Macro,1,0.4256,0.7923,-0.3667
Q1988,Macro,2,0.5868,0.7344,-0.1476
Q1988,Macro,3,0.5287,0.7482,-0.2196
Q1988,Macro,4,0.5315,0.7295,-0.198
Q1988,Macro,5,0.7751,0.7502,0.0249
Q1988,Macro,6,0.7952,0.7351,0.0601
Q1988,Macro,7,0.914,0.7135,0.2005
Q1988,Macro,8,0.7743,0.6997,0.0746
Q3770,Macro,1,0.4937,0.5751,-0.0813
Q3770,Macro,2,0.5375,0.599,-0.0615
Q3770,Macro,3,0.5,0.6028,-0.1028
Q3770,Macro,4,0.5187,0.6,-0.0813
Q3770,Macro,5,0.4937,0.5918,-0.0981
Q3770,Macro,6,0.6062,0.5986,0.0077
Q3770,Macro,7,0.7687,0.5601,0.2086
Q3770,Macro,8,0.875,0.5782,0.2968
Q4038,Macro,1,1.0121,1.0193,-0.0072
Q4038,Macro,2,1.0267,1.0283,-0.0016
Q4038,Macro,3,1.0316,1.0385,-0.0069
Q4038,Macro,4,1.034,1.0479,-0.014
Q4038,Macro,5,1.0364,1.0545,-0.0181
Q4038,Macro,6,1.0437,1.0643,-0.0206
Q4038,Macro,7,1.051,1.0735,-0.0225
Q4038,Macro,8,1.051,1.0835,-0.0325
Q3957,Macro,1,1.0154,1.0254,-0.01
Q3957,Macro,2,1.0283,1.0392,-0.0108
Q3957,Macro,3,1.0383,1.0516,-0.0132
Q3957,Macro,4,1.0525,1.0675,-0.0149
Q3957,Macro,5,1.0659,1.0803,-0.0144
Q3957,Macro,6,1.0771,1.0962,-0.0191
Q3957,Macro,7,1.0892,1.1097,-0.0205
Q3957,Macro,8,1.103,1.1264,-0.0235
Q5109,Macro,1,0.9153,0.9246,-0.0093
Q5109,Macro,2,0.9147,0.9292,-0.0145
Q5109,Macro,3,0.9151,0.9376,-0.0224
Q5109,Macro,4,0.9148,0.9423,-0.0275
Q5109,Macro,5,0.9224,0.9505,-0.028
Q5109,Macro,6,0.9296,0.9496,-0.02
Q5109,Macro,7,0.9252,0.9682,-0.043
Q5109,Macro,8,0.941,0.9675,-0.0264
Q11298,Micro,1,0.7197,0.7399,-0.0202
Q11298,Micro,2,0.7264,0.7342,-0.0078
Q11298,Micro,3,0.6991,0.7611,-0.062
Q11298,Micro,4,0.8002,0.7637,0.0365
Q11298,Micro,5,0.7434,0.7679,-0.0245
Q11298,Micro,6,0.8775,0.7637,0.1138
Q11298,Micro,7,0.8999,0.7742,0.1257
Q11298,Micro,8,0.96,0.757,0.203
Q9597,Micro,1,0.6608,0.6153,0.0455
Q9597,Micro,2,0.5014,0.5198,-0.0184
Q9597,Micro,3,0.3274,0.4762,-0.1488
Q9597,Micro,4,0.4881,0.525,-0.0369
Q9597,Micro,5,0.3947,0.5377,-0.143
Q9597,Micro,6,0.2398,0.5534,-0.3136
Q9597,Micro,7,0.3877,0.5511,-0.1634
Q9597,Micro,8,0.5999,0.5379,0.0619
Q9516,Micro,1,0.6086,0.6612,-0.0526
Q9516,Micro,2,0.6152,0.6635,-0.0483
Q9516,Micro,3,0.5763,0.6703,-0.0939
Q9516,Micro,4,0.5523,0.6855,-0.1332
Q9516,Micro,5,0.5217,0.6942,-0.1726
Q9516,Micro,6,0.5822,0.7262,-0.144
Q9516,Micro,7,0.6255,0.6863,-0.0608
Q9516,Micro,8,0.649,0.7334,-0.0845
Q9551,Micro,1,0.9754,0.9741,0.0013
Q9551,Micro,2,0.9685,0.9833,-0.0148
Q9551,Micro,3,0.9997,0.9997,-0.0001
Q9551,Micro,4,1.025,1.0121,0.0129
Q9551,Micro,5,1.0327,1.025,0.0077
Q9551,Micro,6,0.989,1.0431,-0.0541
Q9551,Micro,7,1.0322,1.0528,-0.0206
Q9551,Micro,8,1.04,1.0663,-0.0262
Q10414,Micro,1,0.9363,0.9445,-0.0083
Q10414,Micro,2,0.9245,0.9506,-0.0261
Q10414,Micro,3,0.9664,0.9533,0.0132
Q10414,Micro,4,0.9279,0.9444,-0.0165
Q10414,Micro,5,0.9161,0.9455,-0.0293
Q10414,Micro,6,0.9128,0.948,-0.0352
Q10414,Micro,7,0.9128,0.9492,-0.0364
Q10414,Micro,8,0.9077,0.9479,-0.0401
Q23416,Other,1,0.9208,0.9277,-0.0068
Q23416,Other,2,0.9136,0.9319,-0.0184
Q23416,Other,3,0.9147,0.9286,-0.0139
Q23416,Other,4,0.928,0.924,0.0041
Q23416,Other,5,0.9393,0.9097,0.0296
Q23416,Other,6,0.948,0.9132,0.0349
Q23416,Other,7,0.9453,0.9136,0.0317
Q23416,Other,8,0.9353,0.9147,0.0206
Q23410,Other,1,0.946,0.9681,-0.022
Q23410,Other,2,0.8026,0.9046,-0.102
Q23410,Other,3,1.0157,0.8899,0.1257
Q23410,Other,4,0.9883,0.853,0.1353
Q23410,Other,5,1.0129,0.8373,0.1757
Q23410,Other,6,0.8973,0.8127,0.0846
Q23410,Other,7,1.1258,0.8392,0.2866
Q23410,Other,8,1.0721,0.8555,0.2166
Q23524,Other,1,0.9718,0.9935,-0.0217
Q23524,Other,2,0.9311,1.0065,-0.0755
Q23524,Other,3,1.0196,0.9907,0.0289
Q23524,Other,4,0.921,0.9678,-0.0468
Q23524,Other,5,0.9665,0.9667,-0.0002
Q23524,Other,6,1.0072,1.0283,-0.0211
Q23524,Other,7,0.9962,1.0208,-0.0247
Q23524,Other,8,1.0072,1.0213,-0.0141
Q23487,Other,1,1.0088,1.0248,-0.016
Q23487,Other,2,1.008,1.0213,-0.0133
Q23487,Other,3,1.0249,1.0273,-0.0024
Q23487,Other,4,1.0361,1.0332,0.003
Q23487,Other,5,1.0442,1.0433,0.0009
Q23487,Other,6,1.0466,1.055,-0.0084
Q23487,Other,7,1.0843,1.0749,0.0094
Q23487,Other,8,1.1116,1.0935,0.0181
Q23661,Other,1,0.8061,0.8203,-0.0141
Q23661,Other,2,0.8122,0.8267,-0.0144
Q23661,Other,3,0.8184,0.8376,-0.0193
Q23661,Other,4,0.8306,0.8466,-0.016
Q23661,Other,5,0.8367,0.8537,-0.017
Q23661,Other,6,0.8367,0.8602,-0.0234
Q23661,Other,7,0.8408,0.8662,-0.0254
Q23661,Other,8,0.8367,0.8751,-0.0384
