M4id,category,step,ground_truth,prediction,residual
Q19518,Finance,6,0.0522,0.0292,0.023
Q19518,Finance,7,0.0534,0.0247,0.0287
Q19518,Finance,8,0.0547,0.0202,0.0345
Q18530,Finance,1,1.0228,0.9814,0.0414
Q18530,Finance,2,1.061,0.9897,0.0714
Q18530,Finance,3,1.1367,0.9869,0.1498
Q18530,Finance,4,1.1562,1.0062,0.15
Q18530,Finance,5,1.2158,0.998,0.2179
Q18530,Finance,6,1.1542,1.0145,0.1397
Q18530,Finance,7,1.2364,1.009,0.2274
Q18530,Finance,8,1.2715,1.0173,0.2542
Q22221,Finance,1,0.925,0.9253,-0.0003
Q22221,Finance,2,0.9106,0.9199,-0.0093
Q22221,Finance,3,0.9148,0.9199,-0.0051
Q22221,Finance,4,0.9193,0.9199,-0.0007
Q22221,Finance,5,0.9195,0.9199,-0.0005
Q22221,Finance,6,0.9205,0.9253,-0.0048
Q22221,Finance,7,0.9281,0.9253,0.0028
Q22221,Finance,8,0.944,0.9307,0.0133
Q15208,Industry,1,0.9776,0.9781,-0.0005
Q15208,Industry,2,0.9969,0.9842,0.0127
Q15208,Industry,3,1.003,0.9873,0.0157
Q15208,Industry,4,1.0008,0.9812,0.0196
Q15208,Industry,5,1.0168,0.9842,0.0326
Q15208,Industry,6,1.0477,0.9842,0.0634
Q15208,Industry,7,1.0527,0.9873,0.0654
Q15208,Industry,8,1.0679,0.9904,0.0775
Q16120,Industry,1,1.0171,1.0066,0.0105
Q16120,Industry,2,1.0361,1.013,0.0231
Q16120,Industry,3,1.0592,1.0163,0.043
Q16120,Industry,4,1.0622,1.0163,0.046
Q16120,Industry,5,1.0622,1.0227,0.0395
Q16120,Industry,6,1.0552,1.0324,0.0228
Q16120,Industry,7,1.0522,1.0357,0.0165
Q16120,Industry,8,0.997,1.0422,-0.0452
Q16176,Industry,1,0.6409,0.5049,0.136
Q16176,Industry,2,1.2004,1.0039,0.1965
Q16176,Industry,3,0.4927,0.375,0.1177
Q16176,Industry,4,0.6263,0.5226,0.1037
Q16176,Industry,5,0.7035,0.4783,0.2252
Q16176,Industry,6,1.382,0.9626,0.4195
Q16176,Industry,7,0.5282,0.3661,0.162
Q16176,Industry,8,0.6367,0.4695,0.1673
Q14989,Industry,1,1.0414,1.0184,0.023
Q14989,Industry,2,0.8756,1.0435,-0.168
Q14989,Industry,3,0.9145,1.0655,-0.151
Q14989,Industry,4,1.0097,1.0812,-0.0715
Q14989,Industry,5,1.0508,1.1001,-0.0493
Q14989,Industry,6,0.8935,1.1053,-0.2119
Q14989,Industry,7,0.9249,1.1232,-0.1982
Q14989,Industry,8,0.8681,1.1514,-0.2833
Q15697,Industry,1,0.8145,0.8189,-0.0045
Q15697,Industry,2,0.8044,0.8136,-0.0092
Q15697,Industry,3,0.8044,0.8084,-0.004
Q15697,Industry,4,0.7978,0.8136,-0.0158
Q15697,Industry,5,0.7974,0.8031,-0.0056
Q15697,Industry,6,0.7777,0.8189,-0.0412
Q15697,Industry,7,0.8341,0.8031,0.0311
Q15697,Industry,8,0.79,0.8242,-0.0342
Q1988,Macro,1,0.4256,0.7252,-0.2995
Q1988,Macro,2,0.5868,0.7088,-0.122
Q1988,Macro,3,0.5287,0.686,-0.1573
Q1988,Macro,4,0.5315,0.7088,-0.1773
Q1988,Macro,5,0.7751,0.7186,0.0564
Q1988,Macro,6,0.7952,0.699,0.0962
Q1988,Macro,7,0.914,0.7154,0.1986
Q1988,Macro,8,0.7743,0.7023,0.072
Q3770,Macro,1,0.4937,0.4954,-0.0017
Q3770,Macro,2,0.5375,0.5173,0.0202
Q3770,Macro,3,0.5,0.4681,0.0319
Q3770,Macro,4,0.5187,0.4297,0.089
Q3770,Macro,5,0.4937,0.4297,0.064
Q3770,Macro,6,0.6062,0.4297,0.1765
Q3770,Macro,7,0.7687,0.3942,0.3746
Q3770,Macro,8,0.875,0.3805,0.4945
Q4038,Macro,1,1.0121,1.0061,0.006
Q4038,Macro,2,1.0267,1.0196,0.0071
Q4038,Macro,3,1.0316,1.0264,0.0052
Q4038,Macro,4,1.034,1.0365,-0.0025
Q4038,Macro,5,1.0364,1.0466,-0.0102
Q4038,Macro,6,1.0437,1.0568,-0.0131
Q4038,Macro,7,1.051,1.0669,-0.0159
Q4038,Macro,8,1.051,1.077,-0.0261
Q3957,Macro,1,1.0154,1.0138,0.0016
Q3957,Macro,2,1.0283,1.0303,-0.0019
Q3957,Macro,3,1.0383,1.044,-0.0056
Q3957,Macro,4,1.0525,1.0604,-0.0079
Q3957,Macro,5,1.0659,1.0741,-0.0082
Q3957,Macro,6,1.0771,1.0851,-0.0079
Q3957,Macro,7,1.0892,1.1015,-0.0123
Q3957,Macro,8,1.103,1.1125,-0.0095
Q5109,Macro,1,0.9153,0.9174,-0.0021
Q5109,Macro,2,0.9147,0.9216,-0.0069
Q5109,Macro,3,0.9151,0.9216,-0.0064
Q5109,Macro,4,0.9148,0.9216,-0.0068
Q5109,Macro,5,0.9224,0.9257,-0.0033
Q5109,Macro,6,0.9296,0.9257,0.0039
Q5109,Macro,7,0.9252,0.9257,-0.0005
Q5109,Macro,8,0.941,0.9216,0.0195
Q11298,Micro,1,0.7197,0.7287,-0.009
Q11298,Micro,2,0.7264,0.7209,0.0055
Q11298,Micro,3,0.6991,0.6977,0.0014
Q11298,Micro,4,0.8002,0.7171,0.0831
Q11298,Micro,5,0.7434,0.7209,0.0225
Q11298,Micro,6,0.8775,0.7209,0.1566
Q11298,Micro,7,0.8999,0.7248,0.1751
Q11298,Micro,8,0.96,0.7287,0.2313
Q9597,Micro,1,0.6608,0.6021,0.0587
Q9597,Micro,2,0.5014,0.6045,-0.1031
Q9597,Micro,3,0.3274,0.5949,-0.2676
Q9597,Micro,4,0.4881,0.5902,-0.1021
Q9597,Micro,5,0.3947,0.5997,-0.2051
Q9597,Micro,6,0.2398,0.6093,-0.3695
Q9597,Micro,7,0.3877,0.6021,-0.2144
Q9597,Micro,8,0.5999,0.6021,-0.0022
Q9516,Micro,1,0.6086,0.6133,-0.0047
Q9516,Micro,2,0.6152,0.6304,-0.0152
Q9516,Micro,3,0.5763,0.6475,-0.0712
Q9516,Micro,4,0.5523,0.6407,-0.0884
Q9516,Micro,5,0.5217,0.6407,-0.119
Q9516,Micro,6,0.5822,0.6338,-0.0516
Q9516,Micro,7,0.6255,0.6475,-0.0221
Q9516,Micro,8,0.649,0.6441,0.0048
Q9551,Micro,1,0.9754,0.9778,-0.0024
Q9551,Micro,2,0.9685,0.9846,-0.0161
Q9551,Micro,3,0.9997,0.9846,0.0151
Q9551,Micro,4,1.025,0.9801,0.045
Q9551,Micro,5,1.0327,0.9733,0.0594
Q9551,Micro,6,0.989,0.9846,0.0044
Q9551,Micro,7,1.0322,0.9778,0.0544
Q9551,Micro,8,1.04,1.0049,0.0351
Q10414,Micro,1,0.9363,0.9487,-0.0125
Q10414,Micro,2,0.9245,0.9388,-0.0143
Q10414,Micro,3,0.9664,0.9587,0.0078
Q10414,Micro,4,0.9279,0.9487,-0.0209
Q10414,Micro,5,0.9161,0.9537,-0.0376
Q10414,Micro,6,0.9128,0.9537,-0.0409
Q10414,Micro,7,0.9128,0.9636,-0.0509
Q10414,Micro,8,0.9077,0.9636,-0.0559
Q23416,Other,1,0.9208,0.9169,0.004
Q23416,Other,2,0.9136,0.8978,0.0157
Q23416,Other,3,0.9147,0.8826,0.0321
Q23416,Other,4,0.928,0.8788,0.0492
Q23416,Other,5,0.9393,0.8826,0.0567
Q23416,Other,6,0.948,0.9016,0.0464
Q23416,Other,7,0.9453,0.9245,0.0208
Q23416,Other,8,0.9353,0.8978,0.0374
Q23410,Other,1,0.946,0.9679,-0.0219
Q23410,Other,2,0.8026,0.8913,-0.0887
Q23410,Other,3,1.0157,0.9756,0.0401
Q23410,Other,4,0.9883,1.0139,-0.0256
Q23410,Other,5,1.0129,1.0139,-0.001
Q23410,Other,6,0.8973,0.9628,-0.0655
Q23410,Other,7,1.1258,1.0701,0.0557
Q23410,Other,8,1.0721,1.0701,0.002
Q23524,Other,1,0.9718,0.9817,-0.0099
Q23524,Other,2,0.9311,0.9735,-0.0424
Q23524,Other,3,1.0196,0.9653,0.0543
Q23524,Other,4,0.921,0.9408,-0.0198
Q23524,Other,5,0.9665,0.9367,0.0298
Q23524,Other,6,1.0072,0.9326,0.0746
Q23524,Other,7,0.9962,0.9162,0.0799
Q23524,Other,8,1.0072,0.9367,0.0705
Q23487,Other,1,1.0088,1.0124,-0.0036
Q23487,Other,2,1.008,1.0231,-0.0151
Q23487,Other,3,1.0249,1.0419,-0.017
Q23487,Other,4,1.0361,1.0285,0.0077
Q23487,Other,5,1.0442,1.0311,0.013
Q23487,Other,6,1.0466,1.0579,-0.0113
Q23487,Other,7,1.0843,1.0713,0.013
Q23487,Other,8,1.1116,1.0633,0.0484
Q23661,Other,1,0.8061,0.8069,-0.0007
Q23661,Other,2,0.8122,0.8111,0.0011
Q23661,Other,3,0.8184,0.8154,0.003
Q23661,Other,4,0.8306,0.8196,0.011
Q23661,Other,5,0.8367,0.8196,0.0171
Q23661,Other,6,0.8367,0.8239,0.0129
Q23661,Other,7,0.8408,0.8239,0.017
Q23661,Other,8,0.8367,0.8239,0.0129
